VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5UXKT0C59G,Yakima,Zillah,WA,98953,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,15,206822717,POINT (-120.26317 46.40556),PACIFICORP,53077002201
5YJ3E1EA2J,Snohomish,Edmonds,WA,98020,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,137721636,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050502
1G1RE6E4XE,Kitsap,Port Orchard,WA,98367,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,26,197718468,POINT (-122.6847073 47.50524),PUGET SOUND ENERGY INC,53035092704
2C4RC1L76M,Skagit,Bow,WA,98232,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,40,256274308,POINT (-122.440636 48.5613885),PUGET SOUND ENERGY INC,53057950801
5YJ3E1EA2J,Thurston,Olympia,WA,98513,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2,259176578,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067012331
WA1E2BFY8N,Snohomish,Snohomish,WA,98296,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,1,207797957,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052108
KNDCE3LG2K,Thurston,Olympia,WA,98506,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,256221178,POINT (-122.8874781 47.0519573),PUGET SOUND ENERGY INC,53067010300
5YJ3E1EB9K,Snohomish,Edmonds,WA,98020,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,32,477226991,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050700
WBY8P2C57K,King,Seattle,WA,98102,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,43,121649510,POINT (-122.32226 47.64058),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100
1FADP5CU2D,Thurston,Lacey,WA,98503,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,115266077,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011200
5YJ3E1EB4J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,342719737,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051914
1N4BZ0CP5H,King,Fall City,WA,98024,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,5,180389240,POINT (-121.8936184 47.5640832),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032601
KM8JBDD23R,Thurston,Olympia,WA,98502,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,22,261210449,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067010600
5YJYGDEF1L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,122587244,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052107
1N4BZ0CP9H,King,Seattle,WA,98117,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,36,123284094,POINT (-122.37275 47.68968),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702
5YJ3E1EA0J,Snohomish,Edmonds,WA,98026,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,476175171,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050300
5YJSA1E27J,King,Seattle,WA,98117,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,36,348575874,POINT (-122.37275 47.68968),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001500
JN1AZ0CP9B,King,Bellevue,WA,98006,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,41,162746104,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905
WBY1Z4C56E,Kitsap,Bremerton,WA,98312,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,35,221479254,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080900
1G1FY6S08K,Thurston,Lacey,WA,98516,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,286453072,POINT (-122.7474291 47.0821119),PUGET SOUND ENERGY INC,53067012221
5YJYGDEE4L,Chelan,Chelan,WA,98816,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,12,111656821,POINT (-120.015875 47.839895),PUD NO 1 OF CHELAN COUNTY,53007960303
5YJ3E1EB7M,Stevens,Colville,WA,99114,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,7,139638901,POINT (-117.90431 48.547075),AVISTA CORP,53065950300
1C4RJXN60R,Snohomish,Stanwood,WA,98292,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,10,257298373,POINT (-122.3684051 48.2414921),PUGET SOUND ENERGY INC,53061053202
5YJSA1CN3D,Thurston,Olympia,WA,98501,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,22,182783100,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010700
5YJ3E1EC3M,Spokane,Rockford,WA,99030,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,217910577,POINT (-117.130025 47.45227),AVISTA CORP,53063014300
5YJ3E1EA6K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,9054664,POINT (-122.2551991 47.8650827),PUGET SOUND ENERGY INC,53061041703
1N4AZ0CP8E,Snohomish,Mountlake Terrace,WA,98043,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1,349616851,POINT (-122.30842 47.78416),PUGET SOUND ENERGY INC,53061051100
KNDCM3LD5K,Thurston,Olympia,WA,98501,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,22,249431752,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011721
1G1FY6S03L,Kitsap,Bremerton,WA,98310,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,23,148972505,POINT (-122.611365 47.575195),PUGET SOUND ENERGY INC,53035080200
1N4AZ1CP1K,Snohomish,Monroe,WA,98272,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,39,122097846,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052207
1N4AZ0CP2D,Spokane,Spokane,WA,99203,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,6,128946408,POINT (-117.425265 47.635365),MODERN ELECTRIC WATER COMPANY,53063004702
5YJ3E1EB9J,Grant,Moses Lake,WA,98837,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,13,233620446,POINT (-119.2599876 47.1240154),PUD NO 2 OF GRANT COUNTY,53025011002
2C4RC1N7XL,Spokane,Spokane,WA,99203,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,6,127293806,POINT (-117.425265 47.635365),MODERN ELECTRIC WATER COMPANY,53063004200
5YJYGAEE7M,Yakima,Yakima,WA,98908,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,148376322,POINT (-120.6027202 46.5965625),PACIFICORP,53077000402
5YJSA1E28G,Thurston,Olympia,WA,98516,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,219684083,POINT (-122.7474291 47.0821119),PUGET SOUND ENERGY INC,53067012221
1N4AZ0CP1F,Snohomish,Bothell,WA,98021,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1,243854845,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051914
1C4RJXR60R,Stevens,Chewelah,WA,99109,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,7,256078952,POINT (-117.722145 48.27719),AVISTA CORP,53065950800
JTDKARFP8H,Yakima,Yakima,WA,98903,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,117189229,POINT (-120.477805 46.553505),PACIFICORP,53077001202
KL8CL6S0XF,Yakima,Moxee,WA,98936,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,15,203498235,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
KNDCE3LG4L,Snohomish,Everett,WA,98208,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,44,167139570,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041605
1N4AZ1CP9J,Douglas,Rock Island,WA,98850,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,12,141412218,POINT (-120.14368 47.376555),PUD NO 1 OF DOUGLAS COUNTY,53017950300
1G1FZ6S08K,Island,Langley,WA,98260,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,171701813,POINT (-122.408015 48.03557),PUGET SOUND ENERGY INC,53029972000
7FCTGAAAXN,Thurston,Lacey,WA,98513,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,220271026,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067011622
5YJSA1V48F,Island,Langley,WA,98260,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,10,229176797,POINT (-122.408015 48.03557),PUGET SOUND ENERGY INC,53029972000
5YJSA1E43K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,14,258995908,POINT (-120.6027202 46.5965625),PACIFICORP,53077002900
JN1AZ0CP8C,Snohomish,Mill Creek,WA,98012,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,44,217764207,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052008
WA1VABGE9K,Snohomish,Bothell,WA,98012,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,1,112725679,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052107
5YJYGDEE0L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,113259303,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051918
5YJSA1E47H,Snohomish,Monroe,WA,98272,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,39,149058101,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052113
5UXTA6C08N,Snohomish,Bothell,WA,98012,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,200756153,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052009
5YJSA1H13E,Spokane,Spokane,WA,99204,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,3,142213004,POINT (-117.43167 47.64724),MODERN ELECTRIC WATER COMPANY,53063004100
5YJXCBE23L,Island,Oak Harbor,WA,98277,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,10,106390189,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029970300
5YJ3E1EA0J,Kitsap,Port Orchard,WA,98366,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26,186727866,POINT (-122.639265 47.5373),PUGET SOUND ENERGY INC,53035092600
3FMTK3SUXM,Skagit,Bow,WA,98232,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40,195150392,POINT (-122.440636 48.5613885),PUGET SOUND ENERGY INC,53057950802
WVWKR7AU1K,Snohomish,Brier,WA,98036,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,1,106029395,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051914
1N4AZ0CP9D,Yakima,Yakima,WA,98901,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,15,213324541,POINT (-120.500225 46.6043),PACIFICORP,53077001602
5YJ3E1EA4K,Snohomish,Stanwood,WA,98292,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,10,252627385,POINT (-122.3684051 48.2414921),PUGET SOUND ENERGY INC,53061053202
5YJ3E1EB9J,Kitsap,Port Orchard,WA,98367,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26,180426536,POINT (-122.6847073 47.50524),PUGET SOUND ENERGY INC,53035092704
1G1RH6E4XC,Thurston,Olympia,WA,98506,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,22,167978779,POINT (-122.8874781 47.0519573),PUGET SOUND ENERGY INC,53067012100
5YJSA1E18G,Thurston,Olympia,WA,98513,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,2,111709230,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067012331
5YJSA1H2XF,Snohomish,Mill Creek,WA,98012,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,44,215299024,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052006
5UXKT0C34H,Douglas,East Wenatchee,WA,98802,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,12,138837380,POINT (-120.28674 47.4176),PUD NO 1 OF DOUGLAS COUNTY,53017950800
1N4AZ0CP7F,King,Renton,WA,98059,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,11,197300393,POINT (-122.15734 47.487175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025103
7SAYGDEF6P,Stevens,Colville,WA,99114,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,7,245457782,POINT (-117.90431 48.547075),AVISTA CORP,53065950200
1N4BZ0CP4G,Snohomish,Bothell,WA,98021,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1,165186479,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051937
WBY8P6C51K,Stevens,Loon Lake,WA,99148,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,7,478044206,POINT (-117.63454 48.05954),NO KNOWN ELECTRIC UTILITY SERVICE,53065951301
5YJYGDEE0M,Thurston,Olympia,WA,98503,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,262199087,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011628
5YJSA1E22H,King,Redmond,WA,98053,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,45,132951150,POINT (-122.0222799 47.6958998),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333
JTDKARFP3J,Skagit,Anacortes,WA,98221,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,40,474223459,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940301
3C3CFFGE8F,Island,Langley,WA,98260,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,10,474038764,POINT (-122.408015 48.03557),PUGET SOUND ENERGY INC,53029972000
5YJ3E1EA1K,Snohomish,Everett,WA,98208,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,229683156,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041703
5YJ3E1EA2J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,171587517,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052010
5YJSA1E28G,Snohomish,Lynnwood,WA,98036,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,32,220125125,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051402
1N4AZ1CP2J,Snohomish,Edmonds,WA,98020,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,21,288268921,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050300
